Filename: ubcmaCtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  4.60       34   80 0.393     3.185E-03
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.584E+04  21.2     6.584E+04
F107,F107A,MLAT,MLONG:  150.      150.      60.4      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      60.4      0.00      120.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  1.3000000000E+02  4.5229001243E-01  9.5593201887E+04  4.3290978584E+04  4.3235850469E+04  9.5805811172E+04
  1.3100000000E+02  4.5337368257E-01  9.4905653619E+04  4.3082325569E+04  4.3027725678E+04  9.5115777655E+04
  1.3200000000E+02  4.5442412768E-01  9.4236031426E+04  4.2877208889E+04  4.2823126377E+04  9.4443738422E+04
  1.3300000000E+02  4.5547479488E-01  9.3579618109E+04  4.2676735689E+04  4.2623157364E+04  9.3784970423E+04
  1.3400000000E+02  4.5652818364E-01  9.2937455263E+04  4.2481655887E+04  4.2428567643E+04  9.3140514126E+04
  1.3500000000E+02  4.5758193887E-01  9.2309770818E+04  4.2291895899E+04  4.2239283907E+04  9.2510596858E+04
  1.3600000000E+02  4.5863626328E-01  9.1696839085E+04  4.2107644744E+04  4.2055495632E+04  9.1895489755E+04
  1.3700000000E+02  4.5969632832E-01  9.1097338423E+04  4.1928810573E+04  4.1877111993E+04  9.1293865721E+04
  1.3800000000E+02  4.6075077000E-01  9.0511207631E+04  4.1754366203E+04  4.1703108609E+04  9.0705663173E+04
  1.3900000000E+02  4.6182884192E-01  8.9939931216E+04  4.1587688506E+04  4.1536854276E+04  9.0132366514E+04
  1.4000000000E+02  4.6292132161E-01  8.9383847764E+04  4.1428114289E+04  4.1377688938E+04  8.9574313751E+04
  1.4100000000E+02  4.6402645094E-01  8.8842804768E+04  4.1275441342E+04  4.1225411388E+04  8.9031349439E+04
  1.4200000000E+02  4.6514227812E-01  8.8316330991E+04  4.1129303999E+04  4.1079659393E+04  8.8502999046E+04
