Filename: lbcmaAtra.001
Emin,Emax,Jo,IJ: 0.5000     1.0000E+0410000    1
L,Iono,Io,B1,BO:  6.80       34   80 0.407     9.859E-04
Idate,UT,time,delt: 86079      0.0  0.00     1.000E+05
Knum1-4,Ko:   5  20  90  20 135
Ne(Iono,Itop,Iono+Ip): 6.863E+04  12.5     6.863E+04
F107,F107A,MLAT,MLONG:  150.      150.      66.0      0.00    
Iono1: STL,GLAT,GLONG,SZA:  0.00      66.0      0.00      114.    
Iono2: STL,GLAT,GLONG,SZA:  0.00      66.0      0.00      114.    
AP vector:  17.0      3.00      3.00      5.00      5.00      4.50      8.00    
Photoelectrons allowed in Iono1,Iono2: No  No 
Primary electron beam(E,Mu): No primary beam     , No Mu function
 Plasmaspheric transparencies and I-P bnd fluxes
  KE(eV)      Trans       P1 +       P1 -       P2 +       P2 -
  3.5700000000E+02  5.6681917013E-01  3.6831901344E+04  2.0924197355E+04  2.0877027754E+04  3.6960370108E+04
  3.5800000000E+02  5.6721763760E-01  3.6861856648E+04  2.0955899021E+04  2.0908695245E+04  3.6990339034E+04
  3.5900000000E+02  5.6696904822E-01  3.6885200807E+04  2.0959921638E+04  2.0912767195E+04  3.7013713639E+04
  3.6000000000E+02  5.6010324275E-01  3.6884178483E+04  2.0705042636E+04  2.0658947974E+04  3.7012775720E+04
  3.6100000000E+02  5.5979827897E-01  3.6915869514E+04  2.0711533334E+04  2.0665440221E+04  3.7044479526E+04
  3.6200000000E+02  5.6045592432E-01  3.6950814332E+04  2.0755472138E+04  2.0709302801E+04  3.7079443173E+04
  3.6300000000E+02  5.6011978489E-01  3.6978202680E+04  2.0758327224E+04  2.0712222930E+04  3.7106871200E+04
  3.6400000000E+02  5.5364872049E-01  3.6984368904E+04  2.0521463242E+04  2.0476348522E+04  3.7113125652E+04
  3.6500000000E+02  5.5352640940E-01  3.7023280341E+04  2.0538504413E+04  2.0493363431E+04  3.7152056161E+04
  3.6600000000E+02  5.5417284408E-01  3.7065089108E+04  2.0585686917E+04  2.0540465847E+04  3.7193889775E+04
  3.6700000000E+02  5.5391662717E-01  3.7102022303E+04  2.0596607374E+04  2.0551427055E+04  3.7230859459E+04
  3.6800000000E+02  5.5421618999E-01  3.7140270422E+04  2.0628966119E+04  2.0583739168E+04  3.7269144239E+04
  3.6900000000E+02  5.5416662166E-01  3.7173048592E+04  2.0645272002E+04  2.0600062755E+04  3.7301975794E+04
  3.7000000000E+02  5.4890479599E-01  3.7184935206E+04  2.0455390402E+04  2.0410989273E+04  3.7313962236E+04
  3.7100000000E+02  5.4806133556E-01  3.7216381221E+04  2.0441170151E+04  2.0396859597E+04  3.7345464668E+04
  3.7200000000E+02  5.4353816107E-01  3.7233191817E+04  2.0281277275E+04  2.0237660611E+04  3.7362370068E+04
  3.7300000000E+02  5.4104084914E-01  3.7260427842E+04  2.0202682316E+04  2.0159413519E+04  3.7389676338E+04
  3.7400000000E+02  5.3678877203E-01  3.7281276519E+04  2.0054835992E+04  2.0012170643E+04  3.7410611023E+04
  3.7500000000E+02  5.3229986327E-01  3.7305358413E+04  1.9899665038E+04  1.9857637183E+04  3.7434774803E+04
  3.7600000000E+02  5.2815521885E-01  3.7338760601E+04  1.9762079424E+04  1.9720661277E+04  3.7468244427E+04
  3.7700000000E+02  5.2803446750E-01  3.7394677645E+04  1.9787123766E+04  1.9745678698E+04  3.7524181483E+04
  3.7800000000E+02  5.2965893045E-01  3.7461036706E+04  1.9883248858E+04  1.9841572635E+04  3.7590547964E+04
  3.7900000000E+02  5.3371261882E-01  3.7537014709E+04  2.0076267646E+04  2.0033978423E+04  3.7666516365E+04
  3.8000000000E+02  5.3649712702E-01  3.7605230224E+04  2.0217756547E+04  2.0175097976E+04  3.7734748321E+04
  3.8100000000E+02  5.3736979248E-01  3.7663610695E+04  2.0282054510E+04  2.0239286664E+04  3.7793166835E+04
  3.8200000000E+02  5.3799513248E-01  3.7720831709E+04  2.0336459323E+04  2.0293623852E+04  3.7850432064E+04
  3.8300000000E+02  5.3845123035E-01  3.7777610191E+04  2.0384279233E+04  2.0341400687E+04  3.7907258607E+04
  3.8400000000E+02  5.3878351825E-01  3.7834462126E+04  2.0427489162E+04  2.0384584616E+04  3.7964161240E+04
  3.8500000000E+02  5.3914652017E-01  3.7892399346E+04  2.0472496953E+04  2.0429555248E+04  3.8022149353E+04
  3.8600000000E+02  5.3951679642E-01  3.7951732196E+04  2.0518580787E+04  2.0475596973E+04  3.8081533787E+04
  3.8700000000E+02  5.3989769945E-01  3.8011905284E+04  2.0565569684E+04  2.0522540215E+04  3.8141759246E+04
  3.8800000000E+02  5.4031632323E-01  3.8073324889E+04  2.0614719815E+04  2.0571638917E+04  3.8203231032E+04
  3.8900000000E+02  5.4109233507E-01  3.8138491537E+04  2.0679631840E+04  2.0636445442E+04  3.8268444873E+04
